"","anoIdx","refIdx"
"194",654,40060
"195",657,40974
"196",666,43463
"197",668,39890
"198",669,41822
"199",674,39888
"200",676,38331
"201",677,43375
"202",684,37012
"203",685,35140
"204",686,41582
"205",688,35400
"206",691,38343
"207",693,37802
"208",696,41344
"209",697,39436
"210",698,38945
"211",702,35380
"212",704,44785
"213",705,36061
"214",706,43884
"215",707,39941
"216",711,36045
"217",712,43543
"218",715,36419
"219",719,36203
"220",721,35960
"221",724,38029
"222",726,42482
"223",730,39318
"224",732,39660
"225",734,42813
"226",736,42821
"227",738,44929
"228",739,40666
"229",741,40964
"230",747,44165
"231",748,37229
"232",750,36805
"233",760,37064
"234",762,45552
"235",766,38599
"236",777,38903
"237",778,35190
"238",780,39692
"239",782,34919
"240",783,39485
"241",786,35001
"242",791,34882
"243",793,44648
"244",794,39875
"245",796,45110
"246",808,39742
"247",817,43094
"248",820,39558
"249",821,38144
"250",823,43638
"251",826,40226
"252",827,37092
"253",833,40431
"254",836,37522
"255",840,43799
"256",847,35453
"257",849,35974
"258",854,38826
"259",855,40592
"260",858,40696
"261",859,42450
"262",866,45027
"263",867,35582
"264",870,43467
"265",871,41814
"266",877,44056
"267",881,35585
"268",887,40493
"269",890,45570
"270",892,40396
"271",894,38876
"272",896,44044
"273",902,42641
"274",903,42488
"275",904,35557
"276",908,40958
"277",912,45255
"278",913,39824
"279",923,36262
"280",928,41085
"281",930,37011
"282",931,41964
"283",934,43487
"284",937,36421
"285",941,42054
"286",945,39877
"287",946,35968
"288",950,43297
"289",954,43547
"290",958,41686
"291",976,39151
"292",978,35629
"293",980,34928
"294",981,43107
"295",983,39355
"296",986,46096
"297",997,38454
"298",1002,38059
"299",1003,43945
"300",1007,40978
"301",1008,42747
"302",1011,40154
"303",1013,43729
"304",1016,45753
"305",1017,46168
"306",1019,44190
"307",1020,39765
"308",1021,41593
"309",1024,43964
"310",1025,34998
"311",1029,41713
"312",1033,37711
"313",1034,40572
"314",1038,44624
"315",1043,36464
"316",1046,41849
"317",1050,35387
"318",1053,38529
"319",1057,43783
"320",1062,39663
"321",1063,44437
"322",1068,38841
"323",1072,45102
"324",1074,36553
"325",1075,45287
"326",1077,38785
"327",1078,42197
"328",1079,42630
"329",1082,37002
"330",1085,37680
"331",1089,42303
"332",1091,36579
"333",1095,44921
"334",1098,40597
"335",1103,38797
"336",1110,44334
"337",1111,42774
"338",1112,36695
"339",1117,37715
"340",1129,44695
"341",1135,39667
"342",1136,43029
"343",1137,39094
"344",1142,43338
"345",1143,38293
"346",1145,38938
"347",1150,40102
"348",1152,36101
"349",1153,44045
"350",1158,35576
"351",1160,42971
"352",1161,42481
"353",1163,38740
"354",1165,37731
"355",1166,45594
"356",1167,41658
"357",1169,45983
"358",1173,42744
"359",1175,40887
"360",1176,40487
"361",1182,37414
"362",1183,36457
"363",1190,37590
"364",1192,45542
"365",1194,39062
"366",1195,41178
"367",1205,36158
"368",1206,44565
"369",1211,38981
"370",1213,43786
"371",1215,40880
"372",1217,45821
"373",1220,44531
"374",1225,36964
"375",1228,37928
"376",1232,37213
"377",1237,35918
"378",1240,43813
"379",1242,35573
"380",1249,40384
"381",1251,44850
"382",1252,42814
"383",1256,45718
"384",1262,38595
"385",1267,40508
"386",1276,44520
"387",1278,44452
"388",1279,45881
"389",1291,40661
"390",1293,43270
"391",1294,37790
"392",1300,37627
"393",1304,40502
"394",1309,39160
"395",1312,44131
"396",1313,37240
"397",1316,37927
"398",1323,44108
"399",1330,41561
"400",1331,35233
"401",1338,37519
"402",1340,36237
"403",1344,42647
"404",1347,43423
"405",1349,38424
"406",1355,43111
"407",1358,40990
"408",1359,41207
"409",1365,38905
"410",1366,45932
"411",1367,43932
"412",1368,43494
"413",1371,41996
"414",1380,40536
"415",1384,39035
"416",1389,43630
"417",1391,35542
"418",1392,37996
"419",1395,36901
"420",1396,36984
"421",1399,41754
"422",1406,37452
"423",1407,37691
"424",1416,39827
"425",1418,36173
"426",1420,38420
"427",1421,44078
"428",1426,38596
"429",1427,42667
"430",1428,45913
"431",1432,46136
"432",1438,43079
"433",1440,43644
"434",1445,41577
"435",1447,37263
"436",1448,44876
"437",1450,42780
"438",1452,37988
"439",1460,43832
"440",1463,37377
"441",1466,35209
"442",1467,36817
"443",1477,37720
"444",1478,45222
"445",1481,41771
"446",1484,39132
"447",1486,45370
"448",1488,36096
"449",1490,37795
"450",1493,45629
"451",1495,45289
"452",1496,36269
"453",1499,42752
"454",1504,43851
"455",1506,37747
"456",1509,41172
"457",1510,44425
"458",1514,41181
"459",1515,39260
"460",1520,36732
"461",1521,40440
"462",1532,37888
"463",1535,36032
"464",1537,41745
"465",1538,41981
"466",1539,39682
"467",1542,43272
"468",1547,37060
"469",1553,40852
"470",1554,35441
"471",1555,40818
"472",1562,44740
"473",1566,37826
"474",1569,39675
"475",1572,39822
"476",1573,44163
"477",1579,35019
"478",1580,42230
"479",1593,43735
"480",1598,43055
"481",1600,37135
"482",1607,38884
"483",1616,42755
"484",1617,35470
"485",1624,37588
"486",1625,35660
"487",1626,38722
"488",1628,43176
"489",1634,41327
"490",1655,42899
"491",1658,36712
"492",1660,35413
"493",1661,44998
"494",1662,35829
"495",1667,39736
"496",1670,38724
"497",1672,44756
"498",1682,42586
"499",1683,37305
"500",1684,37158
"501",1686,39030
"502",1692,45919
"503",1694,44926
"504",1696,44747
"505",1697,46314
"506",1699,42484
"507",1703,43857
"508",1705,45614
"509",1710,45758
"510",1713,37589
"511",1714,38150
"512",1720,37450
"513",1723,43169
"514",1727,37978
"515",1730,35351
"516",1731,37324
"517",1738,44672
"518",1741,37775
"519",1745,42202
"520",1750,41339
"521",1756,44801
"522",1758,43612
"523",1760,45227
"524",1764,40644
"525",1765,38024
"526",1766,35948
"527",1768,43944
"528",1782,40030
"529",1783,44567
"530",1785,37136
"531",1792,39640
"532",1793,39842
"533",1797,45901
"534",1803,41208
"535",1806,40624
"536",1808,37618
"537",1818,42680
"538",1825,42094
"539",1829,41689
"540",1835,40033
"541",1836,38346
"542",1840,35575
"543",1841,44612
"544",1851,44267
"545",1855,45956
"546",1856,43130
"547",1861,46281
"548",1863,42639
"549",1864,37889
"550",1867,44117
"551",1871,36474
"552",1872,45198
"553",1874,44133
"554",1875,40809
"555",1880,36742
"556",1883,37180
"557",1888,42551
"558",1890,44124
"559",1892,37917
"560",1893,44649
"561",1897,37226
"562",1903,41470
"563",1907,39868
"564",1910,41044
"565",1911,42046
"566",1918,37693
"567",1920,38078
"568",1924,44460
"569",1926,40292
"570",1929,39563
"571",1933,43598
"572",1938,43053
"573",1944,42611
"574",1945,35516
"575",1948,40146
"576",1950,42839
"577",1960,37250
"578",1966,36554
"579",1968,40603
"580",1974,41917
"581",1975,38267
"582",1976,39855
"583",1979,36010
"584",1982,44364
"585",1983,40149
"586",1987,43312
"587",1992,44803
"588",1994,40657
"589",2000,35074
"590",2001,39276
"591",2004,41206
"592",2007,35846
"593",2009,37330
"594",2018,44899
"595",2022,37669
"596",2024,38515
"597",2026,41791
"598",2027,36933
"599",2028,40520
"600",2030,34867
"601",2033,41682
"602",2036,38705
"603",2037,39845
"604",2044,39207
"605",2045,37707
"606",2046,42325
"607",2048,45800
"608",2052,43286
"609",2057,45707
"610",2061,36372
"611",2069,40047
"612",2070,41636
"613",2072,44879
"614",2073,35982
"615",2081,41578
"616",2087,42437
"617",2089,39357
"618",2090,45408
"619",2092,35043
"620",2093,38318
"621",2094,43160
"622",2097,35636
"623",2103,35751
"624",2106,39414
"625",2107,44855
"626",2108,44333
"627",2111,35240
"628",2113,44327
"629",2114,40128
"630",2115,38527
"631",2116,37294
"632",2118,36467
"633",2126,45274
"634",2128,39961
"635",2130,38416
"636",2133,45456
"637",2141,45520
"638",2142,42128
"639",2144,45471
"640",2145,39569
"641",2146,36355
"642",2147,44226
"643",2149,37191
"644",2153,45496
"645",2154,36033
"646",2162,39706
"647",2163,41253
"648",2166,40476
"649",2175,35521
"650",2180,40482
"651",2185,44981
"652",2187,45154
"653",2189,40660
"654",2193,43664
"655",2201,42550
"656",2208,37981
"657",2209,43587
"658",2221,38047
"659",2225,46122
"660",2227,35722
"661",2233,45711
"662",2234,43062
"663",2238,44377
"664",2240,42622
"665",2242,44507
"666",2243,36846
"667",2245,43002
"668",2246,43785
"669",2247,38795
"670",2248,44948
"671",2251,37922
"672",2257,42786
"673",2258,45715
"674",2260,41895
"675",2261,39421
"676",2263,38021
"677",2265,44881
"678",2268,36141
"679",2273,45750
"680",2274,42088
"681",2275,40216
"682",2276,43769
"683",2277,37200
"684",2285,42284
"685",2287,44577
"686",2289,38142
"687",2293,38246
"688",2300,39418
"689",2301,40922
"690",2302,35003
"691",2304,43603
"692",2311,36831
"693",2313,45645
"694",2317,39065
"695",2321,38298
"696",2325,42381
"697",2332,45348
"698",2333,37548
"699",2334,43368
"700",2336,36908
"701",2337,43061
"702",2347,41640
"703",2348,37120
"704",2350,38229
"705",2352,45973
"706",2354,45312
"707",2358,45014
"708",2361,37478
"709",2363,44036
"710",2375,36514
"711",2376,38587
"712",2377,42566
"713",2379,41722
"714",2388,35640
"715",2390,34876
"716",2392,35566
"717",2393,38969
"718",2395,35969
"719",2403,45303
"720",2404,45791
"721",2407,35336
"722",2409,45175
"723",2414,45364
"724",2420,43995
"725",2423,37087
"726",2425,39648
"727",2427,46036
"728",2429,45725
"729",2431,44096
"730",2433,44301
"731",2437,45830
"732",2440,35317
"733",2443,41205
"734",2444,35545
"735",2452,38315
"736",2454,45187
"737",2457,38297
"738",2466,38003
"739",2471,45846
"740",2475,40260
"741",2478,40376
"742",2484,44296
"743",2485,46090
"744",2486,36968
"745",2487,42041
"746",2497,42939
"747",2503,38771
"748",2505,37909
"749",2509,38666
"750",2513,44920
"751",2518,45055
"752",2521,37874
"753",2523,42057
"754",2526,44552
"755",2530,39789
"756",2541,40479
"757",2544,43300
"758",2547,42311
"759",2548,43957
"760",2565,46239
"761",2568,42324
"762",2570,40664
"763",2573,36000
"764",2577,43811
"765",2584,42554
"766",2587,37024
"767",2588,36042
"768",2597,44910
"769",2600,42834
"770",2604,43497
"771",2606,38536
"772",2607,35103
"773",2609,39122
"774",2612,46080
"775",2613,44671
"776",2617,40679
"777",2623,44712
"778",2624,40313
"779",2627,44494
"780",2634,46329
"781",2635,40466
"782",2636,41354
"783",2640,43750
"784",2646,40846
"785",2648,39633
"786",2653,42998
"787",2655,42238
"788",2661,35795
"789",2662,35367
"790",2664,36605
"791",2665,37544
"792",2666,38308
"793",2671,41642
"794",2673,36066
"795",2675,45876
"796",2676,45215
"797",2677,39264
"798",2680,35236
"799",2683,35357
"800",2684,43522
"801",2693,45905
"802",2695,43438
"803",2696,42943
"804",2699,40865
"805",2700,46241
"806",2701,42276
"807",2702,42861
"808",2707,38644
"809",2711,37359
"810",2715,43642
"811",2716,37308
"812",2717,36726
"813",2723,45237
"814",2729,37834
"815",2733,45686
"816",2737,35154
"817",2738,38049
"818",2745,45900
"819",2748,35738
"820",2752,44742
"821",2753,43956
"822",2755,45897
"823",2757,35173
"824",2763,37961
"825",2765,39253
"826",2767,37843
"827",2769,39110
"828",2770,39073
"829",2776,42548
"830",2779,37367
"831",2781,45729
"832",2782,35148
"833",2784,44652
"834",2785,40367
"835",2791,46320
"836",2801,37558
"837",2805,37934
"838",2809,38646
"839",2810,37932
"840",2811,45866
"841",2814,41350
"842",2816,45547
"843",2824,39084
"844",2828,37896
"845",2830,42490
"846",2835,37895
"847",2837,39841
"848",2839,36163
"849",2840,45460
"850",2842,42074
"851",2844,40484
"852",2853,43541
"853",2855,43551
"854",2857,35679
"855",2858,42668
"856",2862,45927
"857",2869,41384
"858",2870,39555
"859",2874,37616
"860",2884,38011
"861",2893,39382
"862",2899,42173
"863",2900,35822
"864",2903,44102
"865",2904,40742
"866",2913,38844
"867",2922,45413
"868",2924,39730
"869",2930,42571
"870",2931,42167
"871",2932,44134
"872",2936,36496
"873",2939,43593
"874",2941,38473
"875",2942,43298
"876",2947,45516
"877",2949,36914
"878",2951,46219
"879",2952,41134
"880",2960,35095
"881",2965,43703
"882",2968,43896
"883",2970,45441
"884",2971,44061
"885",2980,36654
"886",2982,37782
"887",2985,41767
"888",2987,35269
"889",2989,38931
"890",2992,45310
"891",2994,35674
"892",2997,34999
"893",2999,44900
"894",3006,43064
"895",3009,46190
"896",3022,45576
"897",3033,40604
"898",3036,42866
"899",3037,36629
"900",3038,44834
"901",3040,37220
"902",3047,44729
"903",3048,37233
"904",3056,43446
"905",3058,42764
"906",3068,40944
"907",3072,43031
"908",3074,40941
"909",3076,36301
"910",3079,44631
"911",3085,37853
"912",3088,35041
"913",3092,42138
"914",3094,41881
"915",3098,39631
"916",3102,41792
"917",3104,40970
"918",3105,38065
"919",3108,38530
"920",3113,41068
"921",3115,41019
"922",3120,42227
"923",3127,34935
"924",3131,40965
"925",3132,40914
"926",3135,37035
"927",3138,36003
"928",3139,43483
"929",3140,41003
"930",3146,41977
"931",3148,39156
"932",3150,37836
"933",3151,44451
"934",3156,35360
"935",3157,36347
"936",3158,41844
"937",3161,41192
"938",3162,41400
"939",3163,44384
"940",3167,41017
"941",3172,35187
"942",3173,43194
"943",3177,36972
"944",3179,40127
"945",3181,40023
"946",3187,42621
"947",3188,43406
"948",3189,34931
"949",3190,41720
"950",3191,42782
"951",3195,38500
"952",3199,37579
"953",3200,41968
"954",3203,35971
"955",3211,36873
"956",3213,42785
"957",3220,38149
"958",3221,40265
"959",3224,40024
"960",3225,35704
"961",3229,35275
"962",3232,45795
"963",3234,35578
"964",3235,41371
"965",3236,40876
"966",3240,43161
"967",3248,36489
"968",3253,34836
"969",3255,37916
"970",3261,41193
"971",3262,42511
"972",3266,45665
"973",3267,43174
"974",3270,43349
"975",3273,38075
"976",3274,42517
"977",3284,37515
"978",3285,37753
"979",3286,39424
"980",3287,35063
"981",3288,37809
"982",3291,36026
"983",3296,45687
"984",3298,45427
"985",3299,46079
"986",3302,44136
"987",3303,46250
"988",3304,37837
"989",3307,40721
"990",3318,40192
"991",3319,42837
"992",3320,38094
"993",3325,39699
"994",3328,37278
"995",3330,44596
"996",3334,44484
"997",3338,40330
"998",3343,40263
"999",3344,38548
"1000",3349,42559
"1001",3355,35364
"1002",3358,43643
"1003",3363,40332
"1004",3367,35021
"1005",3368,39005
"1006",3372,37506
"1007",3376,44266
"1008",3377,36402
"1009",3383,45410
"1010",3388,44366
"1011",3389,39099
"1012",3390,44369
"1013",3392,44216
"1014",3396,41294
"1015",3397,37742
"1016",3403,44517
"1017",3408,37075
"1018",3410,37600
"1019",3411,37815
"1020",3415,45515
"1021",3417,45407
"1022",3418,44759
"1023",3424,45067
"1024",3427,41265
"1025",3432,39202
"1026",3433,42795
"1027",3437,41054
"1028",3438,40031
"1029",3439,37555
"1030",3441,42556
"1031",3445,42462
"1032",3447,39507
"1033",3449,41523
"1034",3453,45299
"1035",3454,44035
"1036",3456,39335
"1037",3458,40097
"1038",3461,43048
"1039",3466,38539
"1040",3469,45497
"1041",3470,36276
"1042",3472,36808
"1043",3474,41320
"1044",3479,38625
"1045",3481,37273
"1046",3484,37662
"1047",3487,40423
"1048",3488,42653
"1049",3494,36019
"1050",3505,36150
"1051",3508,42745
"1052",3514,41442
"1053",3515,43780
"1054",3518,38747
"1055",3527,44473
"1056",3529,42229
"1057",3537,45670
"1058",3538,35232
"1059",3548,44228
"1060",3549,45384
"1061",3551,36545
"1062",3556,41922
"1063",3557,41542
"1064",3559,36449
"1065",3561,36472
"1066",3564,35592
"1067",3566,43390
"1068",3567,40120
"1069",3574,39654
"1070",3579,43830
"1071",3584,34831
"1072",3585,38680
"1073",3588,38887
"1074",3589,45046
"1075",3600,44662
"1076",3601,38941
"1077",3604,42378
"1078",3612,45133
"1079",3615,39641
"1080",3620,36461
"1081",3626,45452
"1082",3630,39278
"1083",3638,46117
"1084",3642,39514
"1085",3645,36296
"1086",3655,38687
"1087",3656,39698
"1088",3661,36460
"1089",3662,42391
"1090",3665,42625
"1091",3667,35483
"1092",3672,36660
"1093",3675,44459
"1094",3678,39447
"1095",3679,44512
"1096",3680,37376
"1097",3681,44324
"1098",3690,41879
"1099",3691,35839
"1100",3697,46319
"1101",3700,42291
"1102",3708,36414
"1103",3711,45502
"1104",3712,44489
"1105",3713,40271
"1106",3714,35081
"1107",3718,40724
"1108",3722,36354
"1109",3727,36258
"1110",3728,43078
"1111",3732,44441
"1112",3734,45824
"1113",3736,45389
"1114",3737,38588
"1115",3738,38040
"1116",3749,39710
"1117",3761,43037
"1118",3763,40301
"1119",3767,38612
"1120",3768,44609
"1121",3769,40988
"1122",3773,39164
"1123",3780,43731
"1124",3781,42005
"1125",3783,37743
"1126",3789,36230
"1127",3790,39719
"1128",3794,43263
"1129",3797,43371
"1130",3811,37458
"1131",3817,43237
"1132",3821,45817
"1133",3834,41307
"1134",3837,39531
"1135",3839,43465
"1136",3842,37733
"1137",3844,41947
"1138",3848,37989
"1139",3849,39383
"1140",3854,42146
"1141",3858,36649
"1142",3862,41246
"1143",3865,36997
"1144",3870,45326
"1145",3874,38505
"1146",3878,38447
"1147",3882,46126
"1148",3887,39791
"1149",3888,41349
"1150",3890,37351
"1151",3892,43732
"1152",3895,34832
"1153",3896,42894
"1154",3901,43916
"1155",3903,46085
"1156",3905,41000
"1157",3906,44980
"1158",3910,43361
"1159",3911,37716
"1160",3912,41395
"1161",3920,39449
"1162",3927,38151
"1163",3929,43895
"1164",3932,39803
"1165",3940,35863
"1166",3941,40815
"1167",3942,35593
"1168",3945,42327
"1169",3950,41695
"1170",3955,41485
"1171",3959,35493
"1172",3960,38325
"1173",3961,40279
"1174",3966,39700
"1175",3967,46054
"1176",3969,44744
"1177",3972,46101
"1178",3979,41812
"1179",3980,43462
"1180",3982,43680
"1181",3988,43684
"1182",3991,38335
"1183",4000,35150
"1184",4001,45329
"1185",4003,40141
"1186",4012,40728
"1187",4013,42761
"1188",4018,44438
"1189",4029,38280
"1190",4031,39951
"1191",4035,41306
"1192",4038,44819
"1193",4046,42278
"1194",4050,39629
"1195",4053,42812
"1196",4055,41428
"1197",4058,44447
"1198",4059,37036
"1199",4060,45918
"1200",4066,46228
"1201",4072,43114
"1202",4074,46013
"1203",4075,42207
"1204",4078,35035
"1205",4084,37342
"1206",4088,42524
"1207",4089,35517
"1208",4090,35139
"1209",4091,38480
"1210",4092,38951
"1211",4093,44680
"1212",4107,44888
"1213",4108,42384
"1214",4109,40960
"1215",4111,36129
"1216",4119,45228
"1217",4121,45578
"1218",4123,44099
"1219",4127,41728
"1220",4128,46267
"1221",4134,37151
"1222",4135,35013
"1223",4136,37955
"1224",4140,46142
"1225",4145,43008
"1226",4149,39409
"1227",4150,35208
"1228",4154,41581
"1229",4155,45628
"1230",4159,36852
"1231",4165,37703
"1232",4169,40446
"1233",4171,35926
"1234",4174,41496
"1235",4175,37129
"1236",4178,42460
"1237",4186,36666
"1238",4192,45305
"1239",4194,37388
"1240",4195,35972
"1241",4207,44262
"1242",4215,39589
"1243",4217,39630
"1244",4218,42425
"1245",4231,44611
"1246",4233,35083
"1247",4236,39752
"1248",4240,36422
"1249",4242,38706
"1250",4243,41685
"1251",4244,44540
"1252",4249,35371
"1253",4255,42838
"1254",4256,44558
"1255",4257,41122
"1256",4258,34896
"1257",4264,37122
"1258",4268,37207
"1259",4277,38927
"1260",4279,43628
"1261",4282,45478
"1262",4284,40634
"1263",4286,38549
"1264",4287,37128
"1265",4291,43335
"1266",4301,42616
"1267",4302,42842
"1268",4307,45941
"1269",4309,42655
"1270",4311,39496
"1271",4313,41124
"1272",4318,39405
"1273",4326,39740
"1274",4327,44713
"1275",4329,43056
"1276",4330,35568
"1277",4339,39652
"1278",4342,45230
"1279",4343,44513
"1280",4344,43540
"1281",4345,35265
"1282",4348,45599
"1283",4354,39488
"1284",4355,44655
"1285",4356,37708
"1286",4358,45284
"1287",4361,41102
"1288",4363,38353
"1289",4368,42860
"1290",4369,35185
"1291",4372,34956
"1292",4382,42272
"1293",4383,45528
"1294",4385,45765
"1295",4390,44983
"1296",4391,38467
"1297",4396,39587
"1298",4399,42716
"1299",4401,45934
"1300",4402,41278
"1301",4403,45556
"1302",4410,38914
"1303",4412,41404
"1304",4415,43294
"1305",4417,40209
"1306",4425,38718
"1307",4426,39673
"1308",4431,36073
"1309",4434,38244
"1310",4436,36521
"1311",4439,39476
"1312",4440,43558
"1313",4442,38100
"1314",4445,42884
"1315",4447,35654
"1316",4448,44368
"1317",4449,38397
"1318",4450,40857
"1319",4452,43118
"1320",4461,41901
"1321",4475,37492
"1322",4476,35996
"1323",4477,42133
"1324",4482,43224
"1325",4485,39790
"1326",4488,38624
"1327",4491,40648
"1328",4492,38623
"1329",4494,38486
"1330",4497,43251
"1331",4500,43045
"1332",4502,38336
"1333",4505,34815
"1334",4511,42654
"1335",4513,39190
"1336",4517,43667
"1337",4519,41774
"1338",4520,39199
"1339",4523,45885
"1340",4526,40720
"1341",4534,43709
"1342",4540,41995
"1343",4541,45546
"1344",4542,37859
"1345",4545,42618
"1346",4549,45581
"1347",4551,35200
"1348",4552,43654
"1349",4557,35512
"1350",4558,39615
"1351",4562,42652
"1352",4565,45180
"1353",4566,35047
"1354",4569,43796
"1355",4577,44274
"1356",4578,40916
"1357",4580,40795
"1358",4581,43451
"1359",4582,35921
"1360",4583,44433
"1361",4585,41143
"1362",4590,41537
"1363",4592,42541
"1364",4593,42985
"1365",4596,39922
"1366",4599,46072
"1367",4600,41503
"1368",4603,41683
"1369",4606,46333
"1370",4608,41738
"1371",4611,43148
"1372",4613,44330
"1373",4626,43571
"1374",4630,41998
"1375",4633,45099
"1376",4635,35613
"1377",4639,37877
"1378",4646,46124
"1379",4653,35242
"1380",4654,36503
"1381",4656,42434
"1382",4659,42929
"1383",4662,36513
"1384",4664,37529
"1385",4665,42994
"1386",4666,35671
"1387",4670,42021
"1388",4673,41455
"1389",4678,44508
"1390",4679,39541
"1391",4682,36155
"1392",4684,43983
"1393",4686,35752
"1394",4689,37727
"1395",4690,45889
"1396",4691,42853
"1397",4695,38973
"1398",4698,34959
"1399",4701,40269
"1400",4708,41399
"1401",4709,41558
"1402",4714,41167
"1403",4715,40352
"1404",4723,37116
"1405",4728,35201
"1406",4731,44975
"1407",4734,45192
"1408",4735,42195
"1409",4736,38592
"1410",4737,36568
"1411",4743,36592
"1412",4746,46399
"1413",4747,36515
"1414",4748,41664
"1415",4750,46360
"1416",4751,35075
"1417",4752,42489
"1418",4756,43145
"1419",4759,36261
"1420",4766,36359
"1421",4771,42014
"1422",4774,34952
"1423",4775,42004
"1424",4776,42192
"1425",4777,38503
"1426",4778,43828
"1427",4779,36800
"1428",4780,43030
"1429",4783,37009
"1430",4785,40995
"1431",4786,38215
"1432",4788,45309
"1433",4793,37054
"1434",4795,41921
"1435",4796,39167
"1436",4800,44758
"1437",4801,34835
"1438",4805,41930
"1439",4809,42628
"1440",4810,38741
"1441",4814,44603
"1442",4816,38526
"1443",4817,41468
"1444",4818,40875
"1445",4819,39674
"1446",4821,38282
"1447",4826,35169
"1448",4830,36311
"1449",4835,45616
"1450",4840,44318
"1451",4841,35577
"1452",4843,42719
"1453",4845,39627
"1454",4846,38726
"1455",4847,35176
"1456",4852,41883
"1457",4855,46369
"1458",4860,43175
"1459",4866,35258
"1460",4868,40496
"1461",4871,45402
"1462",4873,37003
"1463",4874,36151
"1464",4876,36259
"1465",4878,37970
"1466",4881,36313
"1467",4884,35300
"1468",4887,38320
"1469",4888,37702
"1470",4891,40394
"1471",4894,37741
"1472",4899,41903
"1473",4901,40804
"1474",4905,41562
"1475",4909,41644
"1476",4919,45231
"1477",4920,37426
"1478",4921,45394
"1479",4924,37287
"1480",4926,45548
"1481",4934,35646
"1482",4937,39753
"1483",4938,40225
"1484",4944,43961
"1485",4948,42212
"1486",4949,37773
"1487",4954,42921
"1488",4959,35933
"1489",4960,37911
"1490",4963,46269
"1491",4966,43139
"1492",4969,37705
"1493",4973,41465
"1494",4975,36612
"1495",4978,37866
"1496",4980,43712
"1497",4982,39519
"1498",4984,42135
"1499",4987,38890
"1500",4988,45191
"1501",4991,44456
"1502",4995,39286
"1503",4996,40188
"1504",5008,39074
"1505",5011,44822
"1506",5020,45218
"1507",5021,38423
"1508",5024,39232
"1509",5025,43975
"1510",5027,44189
"1511",5032,40272
"1512",5036,38253
"1513",5038,41757
"1514",5044,38026
"1515",5050,36148
"1516",5053,41889
"1517",5056,42297
"1518",5058,38645
"1519",5059,37613
"1520",5062,38201
"1521",5064,40848
"1522",5066,43271
"1523",5070,45751
"1524",5071,44212
"1525",5078,37237
"1526",5082,40043
"1527",5083,44229
